96,"MaxTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_10"
97,"MaxTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_10"
98,"MaxTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_10"
99,"AvgTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_2__w_10"
100,"AvgTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_3__w_10"
101,"MaxTempSurfaceF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_10"
102,MaxTemp2mAboveGroundF__large_standard_deviation__r_0.25
103,"AvgTemp2mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_10"
104,"MaxTempSurfaceF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_10"
105,"AvgTemp2mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_10"
106,"MaxTempSurfaceF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_6__w_10"
107,"MaxTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_6__w_10"
108,"AvgRH2mAboveGround__augmented_dickey_fuller__attr_""pvalue"""
109,"AvgTemp2mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_13__w_10"
110,"MinTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_10__w_10"
111,SNOWDAS_SolidPrecip_kgpersquarem__absolute_sum_of_changes
112,SNOWDAS_SolidPrecip_kgpersquarem__approximate_entropy__m_2__r_0.3
113,SNOWDAS_SolidPrecip_kgpersquarem__approximate_entropy__m_2__r_0.5
114,"SNOWDAS_SWE_mm__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8"
115,SNOWDAS_SnowDepth_mm__number_peaks__n_1
116,SNOWDAS_SnowDepth_mm__number_cwt_peaks__n_1
117,SNOWDAS_SolidPrecip_kgpersquarem__sum_of_reoccurring_values
118,"MinTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_2__w_10"
119,SNOWDAS_SolidPrecip_kgpersquarem__sum_of_reoccurring_data_points
120,"SNOWDAS_SWE_mm__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10"
121,"MinTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_11__w_10"
122,MinTemp80mAboveGroundF__large_standard_deviation__r_0.25
123,SNOWDAS_SolidPrecip_kgpersquarem__number_crossing_m__m_1
124,SNOWDAS_SolidPrecip_kgpersquarem__number_cwt_peaks__n_1
125,"MinTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_14__w_10"
126,"MinTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_13__w_10"
127,"MinTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_12__w_10"
128,"SNOWDAS_SWE_mm__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_1__w_10"
129,"MinTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_4__w_10"
130,SNOWDAS_SolidPrecip_kgpersquarem__number_cwt_peaks__n_5
131,AvgTemp2mAboveGroundF__approximate_entropy__m_2__r_0.5
132,"SNOWDAS_SWE_mm__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_2__w_10"
133,SNOWDAS_SolidPrecip_kgpersquarem__c3__lag_3
134,"SNOWDAS_SWE_mm__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_3__w_10"
135,"MinTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_1__w_10"
136,"MinTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_3__w_10"
137,SNOWDAS_SolidPrecip_kgpersquarem__sum_values
138,SNOWDAS_SolidPrecip_kgpersquarem__number_peaks__n_1
139,"AvgRH2mAboveGround__augmented_dickey_fuller__attr_""teststat"""
140,AvgRH2mAboveGround__cid_ce__normalize_True
141,"SNOWDAS_SWE_mm__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8"
142,AvgTemp2mAboveGroundF__large_standard_deviation__r_0.25
143,"MaxTempSurfaceF__fft_aggregated__aggtype_""skew"""
144,"MaxTempSurfaceF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_10"
145,AvgTemp80mAboveGroundF__minimum
146,"SNOWDAS_SnowDepth_mm__fft_coefficient__coeff_7__attr_""abs"""
147,"MaxTempSurfaceF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_10__w_10"
148,AvgRH2mAboveGround__approximate_entropy__m_2__r_0.7
149,"MaxTempSurfaceF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_11__w_10"
150,"SNOWDAS_SnowDepth_mm__fft_coefficient__coeff_3__attr_""abs"""
151,SNOWDAS_SolidPrecip_kgpersquarem__number_crossing_m__m_0
152,SNOWDAS_SWE_mm__number_cwt_peaks__n_5
153,"SNOWDAS_SnowDepth_mm__fft_coefficient__coeff_2__attr_""imag"""
154,"MaxTemp2mAboveGroundF__fft_aggregated__aggtype_""kurtosis"""
155,SNOWDAS_SnowDepth_mm__approximate_entropy__m_2__r_0.1
156,SNOWDAS_SnowDepth_mm__number_peaks__n_3
157,"MinTemp80mAboveGroundF__fft_coefficient__coeff_4__attr_""abs"""
158,SNOWDAS_Sublimation_micromm__number_cwt_peaks__n_1
159,"MaxTemp80mAboveGroundF__fft_aggregated__aggtype_""skew"""
160,"MaxTempSurfaceF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_12__w_10"
161,"SNOWDAS_SnowDepth_mm__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6"
162,"MaxWindSpeedTrop__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""intercept"""
163,"SNOWDAS_SWE_mm__fft_coefficient__coeff_0__attr_""abs"""
164,"SNOWDAS_SWE_mm__fft_coefficient__coeff_0__attr_""real"""
165,SNOWDAS_SWE_mm__sum_values
166,"SNOWDAS_SolidPrecip_kgpersquarem__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6"
167,"MaxTempSurfaceF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_13__w_10"
168,AvgWindSpeedTrop__energy_ratio_by_chunks__num_segments_10__segment_focus_8
169,MaxTempSurfaceF__cid_ce__normalize_True
170,"SNOWDAS_SnowDepth_mm__fft_coefficient__coeff_0__attr_""real"""
171,"SNOWDAS_SnowDepth_mm__fft_coefficient__coeff_0__attr_""abs"""
172,SNOWDAS_SnowDepth_mm__sum_values
173,"MaxWindSpeedTrop__fft_coefficient__coeff_5__attr_""abs"""
174,SNOWDAS_SWE_mm__cid_ce__normalize_False
175,SNOWDAS_SnowDepth_mm__sum_of_reoccurring_values
176,"MaxTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_1__w_10"
177,SNOWDAS_SnowDepth_mm__sum_of_reoccurring_data_points
178,"SNOWDAS_SWE_mm__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_4__w_10"
179,"SNOWDAS_SolidPrecip_kgpersquarem__fft_coefficient__coeff_3__attr_""abs"""
180,SNOWDAS_SolidPrecip_kgpersquarem__number_peaks__n_3
181,"MinTemp80mAboveGroundF__agg_autocorrelation__f_agg_""var"""
182,MaxTemp80mAboveGroundF__minimum
183,SNOWDAS_SWE_mm__abs_energy
184,SNOWDAS_SnowDepth_mm__number_cwt_peaks__n_5
185,"MaxTempSurfaceF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_14__w_10"
186,MaxTemp2mAboveGroundF__minimum
187,SNOWDAS_SWE_mm__maximum
188,"MaxTempSurfaceF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_2__w_10"
189,SNOWDAS_SnowDepth_mm__abs_energy
190,"AvgTempSurfaceF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_13__w_10"
191,"MinTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10"
192,"MaxTemp2mAboveGroundF__fft_aggregated__aggtype_""skew"""
193,AvgTemp80mAboveGroundF__approximate_entropy__m_2__r_0.3
194,"SNOWDAS_SnowDepth_mm__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6"
195,AvgWindDirection10m__abs_energy
196,SNOWDAS_SWE_mm__sum_of_reoccurring_values
197,"SNOWDAS_SWE_mm__fft_coefficient__coeff_1__attr_""abs"""
198,"SNOWDAS_SnowDepth_mm__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8"
199,"SNOWDAS_SWE_mm__fft_coefficient__coeff_2__attr_""imag"""
200,"SNOWDAS_SWE_mm__fft_coefficient__coeff_7__attr_""abs"""
201,AvgRH2mAboveGround__approximate_entropy__m_2__r_0.9
202,SNOWDAS_SnowDepth_mm__cid_ce__normalize_False
203,MinTemp80mAboveGroundF__cid_ce__normalize_False
204,"SNOWDAS_SolidPrecip_kgpersquarem__fft_coefficient__coeff_4__attr_""abs"""
205,SNOWDAS_Sublimation_micromm__number_cwt_peaks__n_5
206,"MaxTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_5"
207,AvgWindDirection80m__abs_energy
208,SNOWDAS_SWE_mm__sum_of_reoccurring_data_points
209,SNOWDAS_Sublimation_micromm__number_peaks__n_5
210,"MaxTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_6__w_5"
211,AvgTempSurfaceF__cid_ce__normalize_True
212,"SNOWDAS_SnowDepth_mm__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8"
213,"AvgTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10"
214,MaxTempSurfaceF__mean
215,MinTemp80mAboveGroundF__minimum
216,"MaxTemp2mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_1__w_10"
217,SNOWDAS_SnowDepth_mm__maximum
218,SNOWDAS_SolidPrecip_kgpersquarem__energy_ratio_by_chunks__num_segments_10__segment_focus_3
219,APCPSurface__approximate_entropy__m_2__r_0.3
220,AvgTemp2mAboveGroundF__cid_ce__normalize_False
221,SNOWDAS_SWE_mm__standard_deviation
222,SNOWDAS_SWE_mm__variance
223,SNOWDAS_SWE_mm__c3__lag_3
224,"MaxTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_5__w_5"
225,MaxTempSurfaceF__quantile__q_0.4
226,"SNOWDAS_SolidPrecip_kgpersquarem__fft_coefficient__coeff_1__attr_""abs"""
227,MaxTempSurfaceF__median
228,MaxTempTropF__energy_ratio_by_chunks__num_segments_10__segment_focus_1
229,"SNOWDAS_SWE_mm__fft_coefficient__coeff_4__attr_""abs"""
