Lat, Lon
32.056946,-107.037456
32.066541,-106.909594
32.076034,-106.781711
32.085424,-106.653807
32.094712,-106.525882
32.103897,-106.397936
32.11298,-106.26997
32.12196,-106.141984
32.130838,-106.013978
32.139613,-105.885952
32.148286,-105.757907
32.156856,-105.629842
32.165324,-105.501759
32.173689,-105.373657
32.181951,-105.245536
32.19011,-105.117397
32.198167,-104.98924
32.206122,-104.861065
32.213973,-104.732872
32.221722,-104.604662
32.229368,-104.476434
32.236912,-104.34819
32.244353,-104.219929
32.251691,-104.091651
32.258926,-103.963357
32.266058,-103.835047
32.273088,-103.706721
32.280014,-103.578379
32.286838,-103.450022
32.293559,-103.32165
32.300177,-103.193263
32.306693,-103.064861
32.313105,-102.936445
32.319415,-102.808015
32.325621,-102.67957
29.869333,-124.410679
29.892795,-124.287643
29.916159,-124.164558
29.939426,-124.041424
29.962595,-123.918241
29.985666,-123.79501
30.008639,-123.67173
30.031514,-123.548403
30.054291,-123.425027
30.07697,-123.301604
30.099551,-123.178133
30.122034,-123.054614
30.144418,-122.931049
30.166705,-122.807436
30.188893,-122.683776
30.210983,-122.560069
30.232974,-122.436316
30.254867,-122.312517
30.276662,-122.188671
30.298358,-122.06478
30.319955,-121.940842
30.341454,-121.816859
30.362854,-121.692831
30.384156,-121.568757
30.405359,-121.444638
30.426463,-121.320474
30.447468,-121.196265
30.468374,-121.072012
30.489181,-120.947715
30.50989,-120.823373
30.530499,-120.698987
30.551009,-120.574558
30.57142,-120.450085
30.591732,-120.325568
30.611945,-120.201009
30.632058,-120.076406
30.652073,-119.95176
30.671988,-119.827072
30.691803,-119.702341
30.711519,-119.577568
30.731136,-119.452752
30.750653,-119.327895
30.770071,-119.202996
30.789389,-119.078056
30.808608,-118.953074
30.827726,-118.828051
30.846745,-118.702987
30.865665,-118.577882
30.884484,-118.452737
30.903204,-118.327551
30.921824,-118.202325
30.940344,-118.07706
30.958764,-117.951754
30.977084,-117.826409
30.995304,-117.701024
31.013424,-117.5756
31.031444,-117.450137
31.049364,-117.324635
31.067184,-117.199095
31.084903,-117.073516
31.102522,-116.947899
